,Αριθμός Ταυτότητας,Ημερομηνία Έκδοσης,Όνομα,Given Name,Επώνυμο,Surname,Πατρώνυμο,Mητέρας Όνομα,Επίθετο Μητέρας,Ημερομηνία Γέννησης,Καταγωγή,Ύψος,Δημότης,Αρχή Έκδοσης Δελτίου
0,K8529482,05/04/2010,Ιωάννα,Ioanna,Καράμπη,Karampe,Αριστόβουλος,Ιππολύτη,Τουρνά,14/02/2000,Δράμα Άρτα,-,Κέρκυρα 45465/7,Υ.Α. Άρτα Δράμα
1,ZP1396751,10/12/2008,Κυπαρισσία,Kuparissia,Καρκανάκη,Karkanake,Κλεομένης,Γλαύκη,Παναγιωτακοπούλου,07/01/1991,Χαλκιδική Μυτιλήνη,-,Φλώρινα 02154/6,Υ.Α. Μυτιλήνη Χαλκιδική
2,N9417399,29/01/2017,Συμεών,Sumeon,Βλησαρούλης,Blesaroules,Αριστόβουλος,Αλεξία,Καραμπίνα,24/07/2010,Θεσσαλονίκη Ρόδος,-,Τρίπολη 28320/4,Υ.Α. Ρόδος Θεσσαλονίκη
3,Z7031989,20/01/2012,Κικιλία,Kikilia,Παπανδρέου,Papandreou,Ελισσαίος,Ασπασία,Ασσαργιωτάκη,24/05/1986,Ευρυτανία Αργοστόλι,-,Ρέθυμνο 56986/6,Υ.Α. Αργοστόλι Ευρυτανία
4,X5975040,29/10/2020,Βαρσάμος,Barsamos,Κονιδάρης,Konidares,Λεμονής,Ελευθερία,Δημακογιάννη,31/01/1974,Δράμα Λευκάδα,-,Χαλκίδα 54498/5,Υ.Α. Λευκάδα Δράμα
5,AE1346618,16/10/2012,Γαλάτεια,Galateia,Τόμπρη,Tompre,Δράκων,Χαρά,Κεσκίνη,05/02/2008,Άρτα Λευκάδα,-,Δράμα 65940/5,Υ.Α. Λευκάδα Άρτα
6,XM7120949,01/05/2018,Μαριγώ,Marigo,Χαλκίδου,Khalkidou,Χαρίτος,Ιωάννα,Κώτσου,03/05/1998,Φωκίδα Τρίκαλα,-,Αργοστόλι 19450/5,Υ.Α. Τρίκαλα Φωκίδα
7,MX6320921,10/05/2015,Γαρύφαλλος,Garuphallos,Λαγογιάννης,Lagogiannes,Γιάννης,Ερωφίλη,Μαργιά,09/12/1970,Λασσίθι Πολύγυρος,-,Τρίπολη 23495/9,Υ.Α. Πολύγυρος Λασσίθι
8,AN9852115,18/08/2014,Βεατρίκη,Beatrike,Δρακουλή,Drakoule,Κομνηνός,Χαρίκλεια,Ιωσηφίδου,16/01/1916,Λασσίθι Σέρρες,-,Λαμία 06152/9,Υ.Α. Σέρρες Λασσίθι
9,M7557742,23/01/2018,Ήρα,Era,Πίσπα,Pispa,Πύρρος,Θεοχαρούλα,Δρακουλή,04/01/1990,Σάμος Μεσολόγγι,-,Λιβαδιά 26599/4,Υ.Α. Μεσολόγγι Σάμος
