,Identity No,Surname,Given Name,Date of Birth,Gender,Document No,Nationality,Date of Expire,Mother's name,Father's name,Issuing Authority
0,26211974320,HANÇER,VILDANE,09.12.1924,K/F,K78N48200,TC/TUR,31.05.2031,REVZA,MAHIR,T.C. İÇIŞLERI BAKANLIĞI
1,95600223259,DURAN,BÜŞRANUR,02.06.2010,K/F,M61Y22908,LVA,27.02.2022,ZÜLFÜYE,GÖKNUR,T.C. İÇIŞLERI BAKANLIĞI
2,64373690952,DURAN,YENERAL,25.11.1912,E/M,E07T48046,TC/TUR,26.12.2030,FAIZE,ORGÜN,T.C. İÇIŞLERI BAKANLIĞI
3,44841096765,TÜRK,AKDORA,20.11.1968,E/M,T14X37184,TC/TUR,16.06.2029,FATINUR,MUHAMMET,T.C. İÇIŞLERI BAKANLIĞI
4,57928743453,KARADENIZ,KANAK,15.05.1991,E/M,T51H67706,TC/TUR,01.08.2022,TICEN,DALKILIÇ,T.C. İÇIŞLERI BAKANLIĞI
5,92414428568,ÇETIN,KADER,04.04.1984,E/M,O55M20681,TC/TUR,27.11.2027,HAYEL,SADAT,T.C. İÇIŞLERI BAKANLIĞI
6,15481640942,ERTAŞ,BUŞRA,31.01.2010,K/F,Y69O16487,TC/TUR,18.09.2028,GÜLDÜNYA,TONGUÇ,T.C. İÇIŞLERI BAKANLIĞI
7,47174628402,ŞAMA,MÜJDE,03.12.1999,K/F,T37I31747,TC/TUR,26.02.2028,BITÜL,ABDÜLAHAT,T.C. İÇIŞLERI BAKANLIĞI
8,2790834946,KISAKÜREK,ÂLEMŞAH,29.12.1974,K/F,P15H37690,TC/TUR,12.02.2025,SELVI,BEDI,T.C. İÇIŞLERI BAKANLIĞI
9,1116024212,AKÇA,DINCER,25.05.1983,E/M,Y63E90955,TC/TUR,25.10.2029,GÜLHISAR,GÜNŞEN,T.C. İÇIŞLERI BAKANLIĞI
10,9069487741,DEMIREL,CIHAN,16.05.2001,K/F,X24Y25617,TC/TUR,13.11.2026,MEFHARET,KARAKUCAK,T.C. İÇIŞLERI BAKANLIĞI
11,45987634497,BILIR,UYGUN,11.08.1923,E/M,Z05I01123,TC/TUR,30.09.2025,GANIYE,TERLAN,T.C. İÇIŞLERI BAKANLIĞI
12,26667540618,ŞENSOY,ALEXANDRU,04.04.1962,E/M,E06O31349,VUT,27.01.2029,TANYU,TERLAN,T.C. İÇIŞLERI BAKANLIĞI
13,80010178540,SOYLU,ŞAMIHA,05.06.1912,K/F,M88H91781,TC/TUR,16.01.2028,ŞÜKÜFE,NEBIH,T.C. İÇIŞLERI BAKANLIĞI
