,Surname,Given Name,Gender,Height,Nationality,Date of Birth,Identity No.,Document No.,Date of Expire,Parents,Tax No.,Social Security No.,Health No.
0,Antunes,Tatiana,F,1.72,PRT,17 02 1992,75610493,75610493 5 ZZ6,12 04 2029,Gonçalo Moreira | Ema Alves,3907555,876920831894463,213229262363
1,Pinho,Íris,F,1.66,PRT,27 08 1937,6400306,06400306 6 ZZ8,08 12 2021,Tomé Almeida | Raquel Fonseca,2880594,984919342774385,712924153230
2,Pacheco,Sofia,F,1.71,PRT,12 08 1964,23074443,23074443 0 ZZ1,02 12 2022,Lourenço Cardoso | Helena Cardoso,3794939,853371016392745,5220399797
3,Assunção,Gonçalo,M,1.6,PRT,14 11 1917,26666192,26666192 2 ZZ9,23 10 2030,Marco Neves | Filipa Sousa,9285475,722421215879910,551977619534
4,Domingues,José,M,2.11,PRT,05 03 1993,15491449,15491449 4 ZZ1,29 09 2024,Paulo Tavares | Mélanie Fonseca,6569880,55989313840347,306379655269
5,Baptista,Bruna,F,1.91,PRT,30 06 1982,58203009,58203009 9 ZZ3,16 11 2029,Gonçalo Santos | Renata Pires,7313110,356118781773026,511701208319
6,Matos,Denis,M,1.66,PRT,09 02 1972,61521498,61521498 6 ZZ2,31 08 2029,Gil Vaz | Joana Ferreira,1782150,397218963909954,484828391983
7,Barros,Sofia,F,1.61,PRT,19 03 1992,63874187,63874187 5 ZZ7,04 07 2024,Samuel Pinho | Larissa Ribeiro,5687152,305409578991045,590180491957
8,Brito,Martim,M,1.91,PRT,25 12 1926,11433406,11433406 6 ZZ3,01 02 2026,Xavier Assunção | Eva Rodrigues,6852279,622578859743075,731763090483
9,Amorim,Salomé,F,1.78,PRT,19 05 1977,2522676,02522676 0 ZZ6,19 01 2024,Bruno Matias | Luna Gonçalves,2618721,988087968533003,509529327533
10,Borges,Gabriel,M,1.68,PRT,21 08 2009,35316562,35316562 2 ZZ3,04 07 2026,Gonçalo Henriques | Inês Barbosa,921668,734008620692420,151937293126
11,Neto,Carminho,F,1.46,PRT,26 09 2010,43122291,43122291 4 ZZ8,16 01 2026,Luís Rocha | Benedita Baptista,5679927,683877416531755,575911768763
12,Barros,Igor,M,1.69,CUB,01 02 1937,20979320,20979320 6 ZZ3,28 10 2028,Duarte Almeida | Joana Coelho,9654746,783780103196237,863624846609
13,Jesus,Dinis,M,1.74,PRT,09 11 1995,14735051,14735051 9 ZZ2,22 03 2024,Afonso Valente | Ana Gomes,2654866,894654612159519,318946959257
14,Barros,Nuno,M,1.84,PRT,14 06 1944,34275567,34275567 2 ZZ3,17 12 2021,César Gonçalves | Fabiana Loureiro,6913912,57795538258056,941273292415
15,Araújo,David,M,1.58,SGP,02 12 1957,11252651,11252651 2 ZZ2,23 07 2031,Salvador Figueiredo | Bárbara Moreira,8352907,962245377325135,770570087164
16,Freitas,Leonor,F,1.68,PRT,01 06 1915,92273803,92273803 6 ZZ4,23 03 2022,Tomás Paiva | Victória Rocha,4075500,788127095655009,284867309454
17,Teixeira,Nair,F,1.95,PRT,16 05 1970,60519398,60519398 1 ZZ4,16 09 2023,Frederico Rodrigues | Mariana Gomes,5857232,308606051642611,479673917922
18,Martins,Bárbara,F,1.99,PRT,14 02 1965,45415171,45415171 0 ZZ0,13 10 2024,Joaquim Azevedo | Laura Pires,4900701,609229312410312,82904860594
19,Simões,Bernardo,M,1.92,PRT,19 02 1968,48792165,48792165 2 ZZ8,08 07 2027,Vítor Monteiro | Alice Mota,6133050,673443547702492,76478937641
20,Marques,Vítor,M,1.58,GRD,15 07 1969,75789178,75789178 2 ZZ0,27 05 2023,José Batista | Clara Carvalho,1982533,773536274667344,675843032614
21,Martins,Nádia,F,1.99,PRT,28 03 1940,20288564,20288564 2 ZZ6,30 01 2031,Afonso Henriques | Maria Rodrigues,3467354,411066781954988,111849553139
22,Monteiro,Emma,F,1.64,PRT,26 01 1970,32323921,32323921 8 ZZ0,29 10 2022,Ismael Vicente | Andreia Lopes,7401639,621451639408170,850149025799
